localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 4b02edaf7484bbd45613c29ba7de7a08, 584061.58033817, 5622416.91970354, 50.74744129, 100.19153729, 47U, 4.00000000, 5.00000000, -1.00000000, Bedding, 52.67721176, 295.83883667, 205.83883667, -1.39611816, Phosphatic chert, Sun Aug 13 02:43:35 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 1dfc9e26d171a7f7942b415ddcdde562, 584054.88263201, 5622414.12226164, 50.74741711, 100.19144174, 47U, 4.00000000, 5.00000000, -1.00000000, Bedding, 61.59046173, 276.19998169, 186.19998169, -1.39611816, Dl, Sun Aug 13 02:42:46 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, f82800d9909155ef0feaffca8b5c8036, 584034.40378482, 5622426.37800758, 50.74753026, 100.19115432, 47U, 4.00000000, 5.00000000, -1.00000000, Bedding, 71.75753784, 284.37673950, 194.37673950, -1.39611816, Dl, Sun Aug 13 02:41:53 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, d4eafde4abebf8eed05551f04499200b, 584030.57828180, 5622429.97087521, 50.74756312, 100.19110093, 47U, 4.00000000, 5.00000000, -1.00000000, Bedding, 70.37664795, 290.27743530, 200.27743530, -1.39611816, Dl, Sun Aug 13 02:41:26 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, e50bd069c0ecf27108ffa5b39c01e9bf, 584060.78731539, 5622397.85152584, 50.74726996, 100.19152170, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 72.42587280, 291.48300171, 201.48300171, -1.39611816, Phosphatic chert, Sun Aug 13 02:37:54 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 1449feccf3ed12d263311f89a430a51c, 584067.90517617, 5622394.02736984, 50.74723455, 100.19162170, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 59.83473969, 281.55596924, 191.55596924, -1.39611816, Limestone, Sun Aug 13 02:35:49 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, da46e407bb25c3c3465a8ffd6e8a69af, 584103.34640948, 5622379.70082673, 50.74710061, 100.19212067, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 71.62976074, 302.01177979, 212.01177979, -1.39611816, Phosphorite, Sun Aug 13 02:27:35 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 70641271987e2cedb6942a6af8c8e160, 584103.34640948, 5622379.70082673, 50.74710061, 100.19212067, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 75.76380920, 307.30368042, 217.30368042, -1.39611816, Phosphorite, Sun Aug 13 02:26:35 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 1632c01c967b56745f1cc94f2333c60a, 584107.00967545, 5622377.00502756, 50.74707584, 100.19217197, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 53.48219681, 289.52154541, 199.52154541, -1.39611816, Phosphorite, Sun Aug 13 02:25:38 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 1c078fea2e54d683cd20a52457f8d9e7, 584112.54316968, 5622375.70513262, 50.74706335, 100.19225009, 47U, 4.00000000, 5.00000000, -1.00000000, Bedding, 78.21648407, 278.93225098, 188.93225098, -1.39611816, Phosphorite, Sun Aug 13 02:25:01 2017, 
